station_id,date,temperature,RH,dew_point,longitude,latitude
S-THC 21317948:21326445,2023-08-01 3:00,13.70808333,68.06908333,7.93725,-73.519722,45.580972
S-THC 21317949:21206231,2023-08-01 3:00,13.43641667,72.12308333,8.52825,-73.624667,45.57175
S-THC 21317950:21326337,2023-08-01 3:00,13.95666667,68.34175,8.233583333,-73.644056,45.53125
S-THC 21317953:21348258,2023-08-01 3:00,13.65616667,67.76791667,7.8235,-73.559639,45.573333
S-THC 21317958:21206230,2023-08-01 3:00,13.57775,70.57125,8.34425,-73.597917,45.585361
S-THC 21317959:21326443,2023-08-01 3:00,14.22475,65.19875,7.796666667,-73.521556,45.586333
S-THC 21317960:21336805,2023-08-01 3:00,13.30616667,72.01433333,8.3815,-73.596472,45.586306
S-THC 21317937:21326446,2023-08-01 4:00,14.08341667,69.09525,8.5175,-73.535417,45.511028
S-THC 21317938:21206238,2023-08-01 4:00,13.70633333,70.2355,8.397166667,-73.532472,45.518028
S-THC 21317939:21326342,2023-08-01 4:00,13.31308333,70.48025,8.070583333,-73.586583,45.465944
S-THC 21317940:21326448,2023-08-01 4:00,13.56516667,68.02433333,7.791666667,-73.648944,45.493556
S-THC 21317941:21348257,2023-08-01 4:00,13.19333333,70.78816667,8.019416667,-73.573583,45.593194
S-THC 21317942:21326340,2023-08-01 4:00,13.40433333,71.86725,8.445583333,-73.556306,45.575694
S-THC 21317943:21326444,2023-08-01 4:00,11.51875,83.97966667,8.913916667,-73.568444,45.593944
S-THC 21317947:21348259,2023-08-01 4:00,12.71075,73.81141667,8.171083333,-73.615361,45.524389
S-THC 21317948:21326445,2023-08-01 4:00,13.13258333,70.77133333,7.957666667,-73.519722,45.580972
S-THC 21317949:21206231,2023-08-01 4:00,12.88066667,72.9875,8.170166667,-73.624667,45.57175
S-THC 21317950:21326337,2023-08-01 4:00,13.47941667,69.16383333,7.953583333,-73.644056,45.53125
S-THC 21317953:21348258,2023-08-01 4:00,13.2685,69.14108333,7.745916667,-73.559639,45.573333
S-THC 21317958:21206230,2023-08-01 4:00,13.09158333,72.06466667,8.185666667,-73.597917,45.585361
S-THC 21317959:21326443,2023-08-01 4:00,13.55258333,67.66408333,7.6985,-73.521556,45.586333
S-THC 21317960:21336805,2023-08-01 4:00,12.91816667,73.09733333,8.228333333,-73.596472,45.586306
S-THC 21317937:21326446,2023-08-01 5:00,13.72966667,69.56083333,8.277416667,-73.535417,45.511028
S-THC 21317938:21206238,2023-08-01 5:00,13.4115,70.59291667,8.188666667,-73.532472,45.518028
S-THC 21317939:21326342,2023-08-01 5:00,13.43116667,66.7455,7.382166667,-73.586583,45.465944
S-THC 21317940:21326448,2023-08-01 5:00,12.93241667,70.40741667,7.685666667,-73.648944,45.493556
S-THC 21317941:21348257,2023-08-01 5:00,12.81983333,70.84416667,7.673083333,-73.573583,45.593194
S-THC 21317942:21326340,2023-08-01 5:00,12.92716667,73.64216667,8.344666667,-73.556306,45.575694
S-THC 21317943:21326444,2023-08-01 5:00,10.66066667,87.46683333,8.674916667,-73.568444,45.593944
S-THC 21317947:21348259,2023-08-01 5:00,12.20675,75.39941667,7.996416667,-73.615361,45.524389
S-THC 21317948:21326445,2023-08-01 5:00,12.65375,72.05925,7.763,-73.519722,45.580972
S-THC 21317949:21206231,2023-08-01 5:00,12.64283333,72.0795,7.757166667,-73.624667,45.57175
S-THC 21317950:21326337,2023-08-01 5:00,13.08966667,69.74816667,7.702333333,-73.644056,45.53125
S-THC 21317953:21348258,2023-08-01 5:00,12.74841667,71.32266667,7.70325,-73.559639,45.573333
S-THC 21317958:21206230,2023-08-01 5:00,12.71266667,71.54975,7.715833333,-73.597917,45.585361
S-THC 21317959:21326443,2023-08-01 5:00,12.8055,70.04608333,7.4935,-73.521556,45.586333
S-THC 21317960:21336805,2023-08-01 5:00,12.5535,73.097,7.875916667,-73.596472,45.586306
S-THC 21317937:21326446,2023-08-01 6:00,14.51966667,65.371,8.113166667,-73.535417,45.511028
